source	target	kind	discovery	blame_date	file_created	evidence
23	106	context	later	2026-09-03	2026-08-03	`design/roadmap/106-deadline-wait.md`, NOT-STARTED and itself a kernel-surface fork for calef.
23	177	context	later	2026-09-03	2026-08-03	`kernel/src/user/display_tests.rs`, `kernel/src/user/compositor_tests.rs`) and M-177
24	88	prerequisite	later	2026-08-25	2026-08-03	follows M-88's stage 1 while the Linux-boot-protocol path needs neither.
24	60	context	at-creation	2026-08-03	2026-08-03	protocol. Small delta: add the header, reuse the existing DTB front door (M-60), write
24	88	context	at-creation	2026-08-03	2026-08-03	- **`VZEFIBootLoader`** is generic UEFI, sharing M-88's boot stub. Bigger alone, but if
25	127	context	later	2026-08-14	2026-08-03	longer 16a's board: M-127 bought the machine under the only published aarch64 seL4 numbers
25	74	context	later	2026-08-14	2026-08-03	days rather than waiting on a decision. M-74 is the driver that reads that counter, and 74's block states the
25	168	context	later	2026-08-24	2026-08-03	means by "micro-benchmark."** [M-168](168-multitasking-benchmark.md) was minted from S-96's
25	127	context	later	2026-09-03	2026-08-03	hand as of 2026-09-01 and named argon (`design/roadmap/127-the-sel4-machine.md`,
25	74	context	later	2026-09-03	2026-08-03	- **Outstanding.** M-74, the driver that reads `PMCCNTR_EL0` and the SBI PMU, is still
25	168	context	later	2026-09-03	2026-08-03	- **M-168.** The multi-tasking workload this block's own suite cannot supply, minted from
26	456	context	later	2026-09-20	2026-08-03	This refusal is M-456 (design/roadmap/456-the-capability-derivation-tree.md), which
27	23	context	later	2026-08-15	2026-08-03	**Why it matters.** **widens "runs real workloads" by orders of magnitude**: the pool of programs that build for nife becomes "most Rust code that doesn't ...
27	23	prerequisite	at-creation	2026-08-03	2026-08-03	why-not-general-purpose.md names it), and M-23's vendor-component ambition needs
27	31	context	later	2026-09-03	2026-08-03	- **M-31.** Creating and truncating a file, listed here among the operations no contract
27	122	context	later	2026-09-03	2026-08-03	- **M-122.** Directory iteration, the other named gap. `OPENDIR` reaches the PAL there, so a
27	64	context	later	2026-09-03	2026-08-03	- **M-64.** The claim this block makes about scope, "most of crates.io that stays off fs and
27	184	context	later	2026-09-03	2026-08-03	- **M-184.** The x86_64 leg. This block shipped and re-shipped on aarch64 and riscv64, which
28	23	context	at-creation	2026-08-03	2026-08-03	**Why it matters.** a terminal with real behavior is a far better "instance one" for M-23's live component replacement than the raw echo loop, and 27's ...
28	23	context	at-creation	2026-08-03	2026-08-03	**Why.** M-23's flagship line ("the console hot-swap is instance one") deserves a
28	29	context	later	2026-09-03	2026-08-03	- **M-29.** The display terminal. This block is serial on purpose and says the two must not
29	23	context	at-creation	2026-08-03	2026-08-03	for the full form of M-23's claim: **libghostty-vt** (Ghostty's extracted core:
29	142	context	later	2026-09-03	2026-08-03	- **M-142.** The scanout growth and the font itself. 142's increment one grew the surface
29	142	context	later	2026-09-03	2026-08-03	- **M-142.** The deferred terminal behaviour: scrollback, UTF-8, arrow keys and line
30	23	context	at-creation	2026-08-03	2026-08-03	**Why it matters.** **the canonical microkernel component**, the one people ask about first when a minimal kernel claims to stand next to Linux; and milestone ...
30	27	context	at-creation	2026-08-03	2026-08-03	The contract is what `std::net`'s PAL (M-27) binds to, replacing its honest
30	23	context	at-creation	2026-08-03	2026-08-03	Linux. M-23 gets its most convincing instance: live-replacing a network stack under
30	107	context	later	2026-09-03	2026-08-03	- **M-107.** The socket contract shipped with no listen verb, so everything this milestone
30	23	context	later	2026-09-03	2026-08-03	- **M-23.** Live-replacing the network stack under open connections, which this block names
30	27	context	later	2026-09-03	2026-08-03	- **M-27.** Binding `std::net`'s PAL to the socket contract, replacing the honest
31	47	context	later	2026-08-17	2026-08-03	**In brief.** The command line becomes a **grant expression**: naming a resource in a command IS the capability grant (`wc report.txt` passes one readable file ...
31	50	context	later	2026-08-17	2026-08-03	**In brief.** The command line becomes a **grant expression**: naming a resource in a command IS the capability grant (`wc report.txt` passes one readable file ...
31	23	context	at-creation	2026-08-03	2026-08-03	**Why it matters.** **no-ambient-authority made user-visible**: the inversion of Unix's model at the one interface a human touches. M-23's component ...
31	47	context	at-creation	2026-08-03	2026-08-03	is M-47's: it shipped as `run --mem N budgeter` and `file:PATH`.) One kernel change: `Untyped::SPLIT` grants the
31	50	context	later	2026-08-17	2026-08-03	defect class arriving sideways rather than by neglect: the work landed under **M-50**, whose
31	50	context	later	2026-08-17	2026-08-03	interactive boot and flip holdings()', and M-50 did both. Nothing read the result." A
31	23	context	at-creation	2026-08-03	2026-08-03	mismatch is a refusal at the prompt rather than a mystery hang; this is M-23's
31	32	context	at-creation	2026-08-03	2026-08-03	arrive with M-32's FS server, whose handles must be capability-shaped from birth partly
31	50	context	later	2026-08-17	2026-08-03	phase 3's larger half landing free under M-50; then init building the caretaker per grant,
31	47	context	later	2026-09-03	2026-08-03	- **M-47.** A grant of more than one name. This block could only build one subtree caretaker
31	50	context	later	2026-09-03	2026-08-03	half landed under M-50 and nothing read the result. A milestone's status is maintained by
31	328	context	later	2026-09-19	2026-08-03	- **M-328.** Narrowing a grant on
32	27	prerequisite	at-creation	2026-08-03	2026-08-03	cost is a `GlobalAlloc` for the FS-server process, which M-27's PAL needs anyway;
32	31	context	later	2026-09-03	2026-08-03	- **M-31.** The contract gap this block ends on: no `CREATE` and no `TRUNCATE` verb, so
32	31	context	later	2026-09-03	2026-08-03	`File::create` and `std::fs::write` were honestly Unsupported. M-31's phase 2 landed both.
32	37	context	later	2026-09-03	2026-08-03	- **M-37.** Risk 2's kill-mid-write tests, which grew into proving RedoxFS's crash
32	203	context	later	2026-09-03	2026-08-03	- **M-203.** Risk 3, upstream coupling. Pinning a version and carrying patches was done
32	57	context	later	2026-09-03	2026-08-03	- **M-57.** Item 4's "only operate on-device, never create" held until the write half needed
32	347	context	later	2026-09-19	2026-08-03	- **M-347.** Offer the two RedoxFS
33	151	context	later	2026-09-03	2026-08-03	- **M-151.** The kernel's one missing primitive this milestone found: a component that must
35	30	context	at-creation	2026-08-03	2026-08-03	the M-30 addition), **indirect descriptors** (the escape the attacker suite already
35	30	context	at-creation	2026-08-03	2026-08-03	probes), and **multi-queue** (per-queue block isolation, also M-30). The kernel keeps
35	31	context	at-creation	2026-08-03	2026-08-03	does not reach it. It is currently pinned by one kernel test (added with M-31's
35	16	context	at-creation	2026-08-03	2026-08-03	builder (`build_identity_domain`, M-16b) has a harness for the *maps-exactly-the-grant*
35	16	context	at-creation	2026-08-03	2026-08-03	**Why it is load-bearing now, not later.** M-16a's board, the VisionFive 2, **has no
36	27	prerequisite	at-creation	2026-08-03	2026-08-03	**In brief.** Prove the FFI seam end to end with a *minimal* C component before committing to a large one: bare-metal clang for both bare targets in the build, ...
36	27	context	at-creation	2026-08-03	2026-08-03	problem at any stack size. `malloc` is M-27's untyped heap on the instance's own region, so
36	22	context	at-creation	2026-08-03	2026-08-03	M-22 phase B.2's IPC proxy is the workaround that exists today; this spike deliberately did
36	35	context	at-creation	2026-08-03	2026-08-03	the DMA validator (proved, M-35), and the IOMMU. A C component in a confined process can
36	22	context	at-creation	2026-08-03	2026-08-03	its supervisor, which restarts it (the tree M-22 phase B built). That inverts the usual
36	27	context	at-creation	2026-08-03	2026-08-03	(`memcpy`, `memset`, `strlen`, `malloc`/`free`), with `malloc` backed by M-27's
36	29	context	later	2026-09-03	2026-08-03	- **M-29.** The large foreign component this spike was built to de-risk. libghostty-vt is
36	23	context	later	2026-09-03	2026-08-03	- **M-23.** The vendor-component claim, which is the other thing the seam de-risks: a
36	478	context	later	2026-09-20	2026-08-03	This refusal is M-478 (design/roadmap/478-tier-three-full-posix.md), which carries it with
36	16	context	later	2026-09-03	2026-08-03	nothing, and its real value is host interoperability, which is a M-16a story to do in Rust
38	25	prerequisite	at-creation	2026-08-03	2026-08-03	**In brief.** Sequential and random read/write throughput through the confined FS server, against ext4 on Linux and APFS on macOS at a matched virtualization ...
38	21	context	at-creation	2026-08-03	2026-08-03	**Why it matters.** **"primary filesystem" invites a comparison we cannot currently make.** We have the per-request numbers and the isolation tax, and no MB/s ...
38	138	context	later	2026-09-03	2026-08-03	- **M-138.** The 32x write amplification this milestone measured, where every 4 KiB file
39	23	context	later	2026-09-14	2026-08-03	*timing* still is, and it still inherits M-23. The recommendation on the page held up: option
39	120	context	later	2026-09-14	2026-08-03	M-120) later, and the split itself not before the strain justifies trading the
39	31	context	at-creation	2026-08-03	2026-08-03	**In brief.** **Analysis recorded, no decision taken.** The tree is a monorepo for a deliberately loosely-coupled system, and it is straining in measurable ...
39	36	context	at-creation	2026-08-03	2026-08-03	macOS) and its core wants `std` under test. M-36 did the same to the toolchain by requiring
39	23	context	at-creation	2026-08-03	2026-08-03	contract, and contracts are exactly what M-23's live replacement makes into a compatibility
39	23	context	at-creation	2026-08-03	2026-08-03	The project's own word already carries the thesis: M-23 is "a capability-routed **component**
39	23	context	at-creation	2026-08-03	2026-08-03	**Recommendation: D, executed as B, and not before M-23 forces it.**
39	31	context	at-creation	2026-08-03	2026-08-03	Most of a package format already exists and is not called one. M-31's per-program **manifest**
39	93	context	later	2026-08-16	2026-08-03	**Corrected 2026-08-16 by M-93's first documentation sweep: half of that move already
40	117	context	later	2026-08-18	2026-08-03	**`script/apropos`, and it is M-117's finding rather than a nicety.** Three stranger runs
40	50	context	later	2026-08-22	2026-08-03	want, and notes/pipes.md had been holding it open since M-50: *"a shell that wanted a
40	151	context	later	2026-08-22	2026-08-03	documented, accepted interim rather than fixed here; see this block's `BUGS` and M-151.
40	29	context	later	2026-08-26	2026-08-03	(M-29's font rendering, M-33's compositor), was still named as the phase's other
40	33	context	later	2026-08-26	2026-08-03	(M-29's font rendering, M-33's compositor), was still named as the phase's other
40	29	context	later	2026-08-26	2026-08-03	**In brief.** Markdown authored, **rendered** for display rather than shown raw, searchable locally, and installed by the package that owns it. Reuse ...
40	31	prerequisite	at-creation	2026-08-03	2026-08-03	**Why it matters.** **the OS explains itself, on itself.** The project's whole argument is already markdown (DECISIONS, thirty-plus notes, this roadmap), so a ...
40	23	context	at-creation	2026-08-03	2026-08-03	demonstration of M-23's component story than another synthetic test, and it costs the
40	29	context	at-creation	2026-08-03	2026-08-03	2. ~~**There is no font rendering yet.**~~ **There is now** (M-29, 2026-07-30): a bitmap
40	32	prerequisite	at-creation	2026-08-03	2026-08-03	That split is the reuse judgment, and it is the same one M-32 made about RedoxFS.
40	27	context	at-creation	2026-08-03	2026-08-03	| Parse | **`pulldown-cmark`** (pure Rust, CommonMark, event-stream API, few dependencies) | **Take it.** The event stream is the right shape for a renderer ...
40	39	context	at-creation	2026-08-03	2026-08-03	into a documentation store when the component is installed. This is where M-39's packaging
40	31	context	later	2026-08-16	2026-08-03	word would make the parse ambiguous.) M-31's grant expression makes this a demonstration
40	31	context	at-creation	2026-08-03	2026-08-03	**Sequencing.** Phase 1 wants M-31 phase 2 finished (per-file grants make `doc <file>` the
40	151	context	later	2026-08-22	2026-08-03	Tracked at M-151 (notification objects), DECISIONS S-101's kernel build, which lets the
40	151	context	later	2026-09-03	2026-08-03	- **M-151.** The caretaker-hop display race: with the `terminal_sink_caretaker` narrowing
40	334	context	later	2026-09-19	2026-08-03	- **M-334.** The other two thirds of
40	117	context	later	2026-09-14	2026-08-03	described a system which no longer existed, and pointed the same index at the repository as `script/apropos`, which is M-117's finding rather than a ...
40	151	context	later	2026-09-14	2026-08-03	front of it. M-151 tracks the one known cost (the caretaker-hop display race) as a
41	5	context	at-creation	2026-08-03	2026-08-03	**In brief.** Triage all **79** `allow(dead_code)`/`allow(unused)` suppressions in the tree, delete what is dead, and replace the module-wide ones with ...
41	8	context	at-creation	2026-08-03	2026-08-03	**In brief.** Triage all **79** `allow(dead_code)`/`allow(unused)` suppressions in the tree, delete what is dead, and replace the module-wide ones with ...
41	20	context	at-creation	2026-08-03	2026-08-03	its device capability, and M-20's kernel-side reader had outlived its own design.
41	5	context	at-creation	2026-08-03	2026-08-03	- `kernel/src/arch/aarch64/interrupts.rs:63`: "M-5's first non-test caller".
41	8	context	at-creation	2026-08-03	2026-08-03	- `kernel/src/arch/aarch64/mmu.rs:647` and `:660`: both point at M-8's *in-kernel* console, which S-21 moved into userspace and retired.
42	39	context	later	2026-08-15	2026-08-03	**In brief.** Three things CI does not do. **Advisories and licences**: no `cargo-audit`/`cargo-deny`, so a published advisory against a dependency is ...
42	32	prerequisite	at-creation	2026-08-03	2026-08-03	**Why it matters.** **the thesis is confining code we did not write, so not knowing when that code has a published advisory is an odd blind spot**, and ...
43	92	context	later	2026-09-03	2026-08-03	- **M-92.** The two candidate lenses this block named and did not run, capability-lifetime
43	134	context	later	2026-09-03	2026-08-03	- **M-134.** The `unsafe` census specifically. It stopped being an audit lens and became an
43	139	context	later	2026-09-03	2026-08-03	instrument: the census and the ceiling relation live in `script/lint`, and M-139 spends
44	42	context	at-creation	2026-08-03	2026-08-03	**In brief.** Four items, and they split into files we can commit and settings someone with admin has to toggle. **Files:** a `SECURITY.md` policy stating what ...
44	42	context	at-creation	2026-08-04	2026-08-03	M-42's `cargo-audit`/`cargo-deny` work rather than a code-quality one. Say that plainly, or
44	78	context	later	2026-09-03	2026-08-03	- **M-78.** The `cpu matrix` check is one of the five that deliberately does not block, and
44	78	context	later	2026-09-03	2026-08-03	the reason is that it is load-sensitive. M-78 is where that family of assertions was
45	44	context	at-creation	2026-08-03	2026-08-03	**Why it matters.** **the alerts land exactly where this project's most-used unsafe abstraction lives**, so the answer is worth having either way: either the ...
46	39	context	at-creation	2026-08-03	2026-08-03	**Execution discipline, because this is the change M-39 warns about.** One commit, nothing
46	63	context	later	2026-09-03	2026-08-03	- **M-63.** The word-separation split this milestone measured and did not settle. It found
47	64	context	later	2026-08-18	2026-08-03	sequencing was to let M-64 measure first so a real crate's demands could size the remaining
47	154	context	later	2026-08-26	2026-08-03	"blocked on a second grant" section named: M-154 supplied the second grant, and this lane
47	154	context	later	2026-08-26	2026-08-03	guest-provable, because M-154's own gap is still open: nothing tells a real, live `swish`
47	39	context	later	2026-08-26	2026-08-03	and it is the same question M-39's own line already points at ("installing a program
47	31	context	later	2026-08-24	2026-08-03	M-31 phase 2) through the same shell-builtin shape `mkdir` already has. The mtime half
47	122	context	later	2026-08-18	2026-08-03	**One sequencing question is open and deliberately not made a gate.** M-122 (`OPENDIR`
47	64	context	later	2026-08-17	2026-08-03	and M-64 bound all three on 2026-08-04 (pull request #113,
47	55	context	at-creation	2026-08-03	2026-08-03	costs, and the inert-stored-path escape hatch if M-55 turns out to need on-disk fidelity.
47	31	context	later	2026-08-22	2026-08-03	nothing this milestone had not already built (`fs_proto::fs::CREATE`, M-31 phase 2). This
47	51	context	later	2026-08-24	2026-08-03	M-51 landed the clock (S-43, RTC drivers on both ISAs, `date`). Same shape as S-43's own
47	55	context	later	2026-08-24	2026-08-03	required fixing to stay contiguous: `SYNC` (M-55) had never been given a row, so every
47	109	context	later	2026-08-17	2026-08-03	refusal; M-109 built it on 2026-08-04, as a shell prefix word rather than a program, and the
47	50	context	later	2026-08-26	2026-08-03	capability table has sixteen slots, and this file's own comment ("M-50 added two more
47	49	context	later	2026-08-26	2026-08-03	endpoints an admin tool hands out, versus folding it into M-49's login/session work since
47	154	context	later	2026-08-26	2026-08-03	got built once M-154 supplied the second grant, checked rather than assumed. What changed
47	154	context	later	2026-08-22	2026-08-03	**Minted as M-154** (2026-08-23): a process that holds two directory capabilities. The
47	64	context	at-creation	2026-08-03	2026-08-03	## M-64 is what forces the namespace half of this milestone
47	64	context	at-creation	2026-08-03	2026-08-03	**M-64 supplies the missing demand.** `std::fs::File::open` takes a **path**, and a `std`
47	49	context	at-creation	2026-08-03	2026-08-03	**Two milestones this reaches into.** M-49 (users, login, and attribution) is what *hands* a
47	39	context	at-creation	2026-08-03	2026-08-03	And M-39 (repository structure and the road to a distribution) inherits the sharper
47	39	context	later	2026-08-26	2026-08-03	manager's shape by accident**, one wire message at a time, before M-39 decides what
47	39	context	later	2026-08-26	2026-08-03	| **Build both halves** (the wire change too) | Real decoupling of "add a program" from "recompile grant_plan" | A new wire message two programs must agree on ...
47	39	context	later	2026-08-26	2026-08-03	for M-39 to at least sketch what "installing a program" means, since building the spawn
47	151	context	later	2026-08-26	2026-08-03	**First, the question this lane was asked to check: is M-151 (notification objects,
47	151	context	later	2026-08-26	2026-08-03	M-151 is a red herring for this specific gap, whatever it turns out to be needed for
47	50	context	at-creation	2026-08-03	2026-08-03	precisely the arbitrary divergence this milestone exists to refuse. M-50 (pipes and
47	31	context	at-creation	2026-08-03	2026-08-03	by design (M-31, a capability shell, took the SHILL shape deliberately), so the prefix marks
47	31	context	at-creation	2026-08-03	2026-08-03	grammar in M-31, which is **built and host-tested**, so the refusal wording changes from
47	50	context	at-creation	2026-08-03	2026-08-03	OCaml. But a method implies an object with a type, and M-50 currently carries **bytes**; over
