# The prose ratchet's baseline: milestone 586 (a prose ratchet in lint), for §212 (a prose budget)
# and §213 (writing standards).
# One row per document over at least one limit when it was written. `-` means that measure was
# within its limit, and so may not cross it. A number is a ceiling that may only go DOWN: lower it
# with `python3 helpers/prose_ratchet.py --bank`, which never raises and never adds. A row may be
# removed; a row may not be added and a number may not rise (script/lint compares against the
# merge base). A document that must exceed its row gets a marked exception, not an edit here.
# The one exception is a change of measurement: the `measure:` line below says which one wrote
# these rows, and a change that bumps it re-measures the rows it moved (`--remeasure`), once.
# Limits: words 3000, median sentence 20, longest sentence 40, bold 4 per 1,000 words (held as the
# two counts). Median and bold are not asked of documents under 200 words.
# measure: 2
path	words	median	longest	bold_lead	bold_inline
design/decisions/190-what-a-baseline-save-must-record.md	-	-	71	14	11
design/decisions/191-job-mix-repeats-and-what-the-line-reports.md	-	-	51	10	6
design/decisions/192-a-checked-direct-map-reader-for-the-acpi-walk.md	-	-	62	13	4
design/decisions/193-nvme-in-the-block-roster.md	-	-	50	9	6
design/decisions/194-sessions-interleave-rather-than-serialize.md	-	-	41	9	1
design/decisions/195-a-recipe-vouches-and-the-owner-may-overrule.md	-	-	58	13	13
design/decisions/196-nife-carries-tls-and-builds-the-provider.md	-	-	64	16	9
design/decisions/197-a-package-is-one-archive-file.md	-	-	49	14	5
design/decisions/198-the-glue-is-ours-the-primitives-are-not.md	-	-	41	14	3
design/decisions/199-the-screen-check-asks-instead-of-sampling.md	-	-	67	3	4
design/decisions/20-iommu-dma-isolation.md	-	24	68	8	0
design/decisions/200-two-crates-the-documentation-system-refused.md	-	-	58	5	2
design/decisions/201-one-roadmap-until-a-citation-has-to-cross.md	-	-	52	11	7
design/decisions/202-mechanical-work-goes-to-a-cheaper-model.md	-	-	64	25	18
design/decisions/203-capacity-is-rented-not-bought.md	-	-	47	16	10
design/decisions/204-how-userspace-asks-where-a-thread-runs.md	-	-	43	18	7
design/decisions/205-the-subscription-stays-and-renting-fills-the-tail.md	-	-	59	17	14
design/decisions/206-filing-a-lanes-findings-is-a-step-not-a-duty.md	-	-	42	9	3
design/decisions/207-the-roadmap-is-a-graph-and-says-so.md	-	-	47	33	14
design/decisions/208-installing-is-granting.md	-	-	69	18	4
design/decisions/209-state-handoff-is-an-opaque-blob-and-it-is-optional.md	-	-	53	13	10
design/decisions/21-terminal-in-userspace.md	-	21	49	5	3
design/decisions/210-a-correction-names-its-action.md	-	-	77	25	19
design/decisions/211-what-a-fatal-risk-verdict-says.md	-	-	77	25	10
design/decisions/212-a-prose-budget-for-every-document.md	-	-	68	29	13
design/decisions/22-rust-std-on-the-native-abi.md	-	24.5	69	12	13
design/decisions/23-multi-queue-dma-confinement.md	-	22.5	67	5	1
design/decisions/24-interrupting-the-foreground.md	-	-	-	6	1
design/decisions/25-socket-identity.md	-	-	47	-	-
design/decisions/26-fault-endpoint.md	-	-	76	28	13
design/decisions/27-filesystem-service.md	3263	-	76	20	20
design/decisions/28-smp-placement.md	-	-	66	15	5
design/decisions/29-framebuffer-grant.md	-	21	65	12	7
design/decisions/30-dma-boundary-proof.md	-	-	64	9	11
design/decisions/31-foreign-language-seam.md	-	-	62	22	12
design/decisions/32-reap-without-build.md	-	-	-	11	3
design/decisions/33-compositor-authority.md	-	22	74	11	15
design/decisions/34-redoxfs-primary.md	4123	-	71	54	28
design/decisions/35-scanner-findings.md	-	-	59	12	6
design/decisions/36-repository-in-the-tcb.md	-	22	62	10	5
design/decisions/37-text-as-a-value.md	-	-	82	13	10
design/decisions/38-scoped-suppressions.md	-	-	46	10	3
design/decisions/39-component-names.md	-	-	56	3	7
design/decisions/40-no-reaper-of-last-resort.md	-	-	-	5	6
design/decisions/41-endpoint-as-broker.md	-	-	52	13	10
design/decisions/42-truthful-filesystem.md	-	-	45	12	8
design/decisions/43-clock-authority.md	-	20.5	46	10	17
design/decisions/44-entropy-capability.md	-	-	54	8	11
design/decisions/45-partition-guid.md	-	-	-	4	1
design/decisions/46-dependency-rule.md	-	-	59	8	16
design/decisions/47-directory-rights.md	-	-	45	3	18
design/decisions/48-shell-navigation.md	-	-	-	6	13
design/decisions/49-removal-and-recursion.md	-	-	48	4	10
design/decisions/50-namespace-composition.md	-	-	-	10	9
design/decisions/51-sink-protocol.md	-	-	-	3	1
design/decisions/52-nameset-glob-grant.md	-	-	45	2	7
design/decisions/53-parity-matrix.md	-	-	45	9	8
design/decisions/54-host-recovery.md	-	-	-	8	4
design/decisions/55-shell-holds-the-redirect.md	-	-	-	11	7
design/decisions/56-verb-table.md	-	-	44	4	11
design/decisions/57-xattr-forwarding.md	-	-	-	3	2
design/decisions/58-wider-archive-name.md	-	-	-	7	5
design/decisions/59-append-mode.md	-	-	-	3	2
design/decisions/60-fuzzing-the-parsers.md	-	-	42	4	2
design/decisions/61-lints-on-evidence.md	-	20.5	46	2	4
design/decisions/62-below-the-stack-pointer.md	-	23	47	1	5
design/decisions/63-program-versus-crate.md	-	21	-	0	2
design/decisions/64-per-file-coverage.md	-	-	42	-	-
design/decisions/65-active-refusal.md	-	-	50	7	4
design/decisions/66-refusal-status.md	-	-	-	1	8
design/decisions/67-second-stream.md	-	26.5	41	1	3
design/decisions/68-boot-endowment-name.md	-	-	-	5	1
design/decisions/69-endow-versus-endowment.md	-	-	44	5	1
design/decisions/70-built-when-nothing-to-fix.md	-	-	52	4	3
design/decisions/71-recorded-limitations.md	-	-	49	3	0
design/decisions/72-time-command-clock.md	-	21	50	8	1
design/decisions/73-repository-admin-steps.md	-	21	42	9	6
design/decisions/74-audit-cadence.md	-	-	58	9	11
design/decisions/75-naming-covers-directories.md	-	-	46	7	5
design/decisions/76-roadmap-status-versus-tree.md	-	-	90	9	7
design/decisions/77-branch-prefixes.md	-	-	69	8	3
design/decisions/78-signed-commits.md	-	-	42	12	3
design/decisions/79-password-equivalent-material.md	-	-	43	16	7
design/decisions/80-one-build-for-everything.md	-	-	59	10	19
design/decisions/81-dependency-upgrades.md	-	-	43	6	3
design/decisions/82-ambient-authority-and-the-rewrite.md	-	-	46	17	9
design/decisions/83-rust-over-c-implementations.md	-	-	-	11	3
design/decisions/84-how-we-port.md	-	-	41	17	7
design/decisions/85-evidence-and-product.md	-	-	44	12	1
design/decisions/86-el0-nvme-driver.md	6301	-	78	63	36
design/decisions/87-permissive-license.md	-	22	59	5	2
design/decisions/88-needs-architect-as-a-check.md	-	-	49	10	2
design/decisions/89-provisional-versus-unrecorded.md	-	-	54	12	3
design/decisions/90-claiming-and-closing.md	-	-	44	13	6
design/decisions/91-endpoints-before-the-refusal.md	-	-	62	10	4
design/decisions/92-caretaker-lifetime.md	-	-	-	9	4
design/decisions/93-filesystem-wire-protocol.md	-	-	42	13	3
design/decisions/94-what-may-live-in-a-library.md	-	-	55	9	6
design/decisions/95-a-proven-ipc-fastpath.md	-	-	64	16	19
design/decisions/96-process-kernel-or-event-kernel.md	3038	-	54	36	35
design/decisions/97-advisory-checks.md	-	-	51	20	14
design/decisions/98-opendir-cannot-attenuate.md	-	-	41	9	2
design/decisions/99-apple-metadata-at-rest.md	4138	-	48	53	15
design/decisions/README.md	-	-	70	-	-
design/display-ladder.md	-	23	56	9	8
design/driver-domains.md	-	-	46	13	5
design/fat-binaries.md	-	-	-	18	11
design/fatal-risks.md	-	-	42	17	2
design/fatal-risks/somebody-elses-software.md	-	-	44	-	-
design/haiku-bfs-and-packages.md	-	-	45	8	17
design/init-and-granular-spawn.md	-	-	61	22	16
design/interrupt-routing.md	-	-	47	9	14
design/kernel-objects-from-untyped.md	-	-	58	12	9
design/naming/boolean-predicates-worklist.md	-	-	62	10	0
design/naming/boolean-predicates.md	-	-	-	11	1
design/open-design-ideas.md	-	-	47	10	11
design/original-milestone-plan.md	-	-	64	1	2
design/roadmap/01-first-boot.md	-	-	-	3	0
design/roadmap/02-exception-vectors.md	-	-	-	3	0
design/roadmap/03-frame-allocator.md	-	-	56	4	0
design/roadmap/04-mmu-and-heap.md	-	-	47	3	0
design/roadmap/05-gic-and-timer.md	-	21.5	-	3	0
design/roadmap/06-threads-and-preemption.md	-	-	-	3	0
design/roadmap/07-user-mode.md	-	-	45	3	4
design/roadmap/08-console-leaves-the-kernel.md	-	-	44	3	0
design/roadmap/09-virtio-blk-at-el0.md	-	-	-	3	2
design/roadmap/10-shell-and-spawn.md	-	24	50	7	0
design/roadmap/100-psci-and-cpu-discovery.md	-	-	47	12	2
design/roadmap/101-el0-ipc-calibration.md	-	-	58	23	8
design/roadmap/102-device-fault-routing.md	-	-	48	11	1
design/roadmap/103-interrupt-watch-stops-spinning.md	-	-	-	8	3
design/roadmap/104-init-measures-what-init-loads.md	-	-	55	11	3
design/roadmap/105-reap-right-and-thread-handles.md	-	-	50	15	2
design/roadmap/106-deadline-wait.md	-	-	56	31	27
design/roadmap/107-sockets-that-accept.md	-	-	46	11	2
design/roadmap/108-drivers-on-frame-capabilities.md	-	22	47	11	2
design/roadmap/109-xargs-at-the-grant-bound.md	-	-	51	15	3
design/roadmap/11-untyped-memory.md	-	27.5	-	3	0
design/roadmap/110-recovery-from-a-partition.md	-	-	41	11	2
design/roadmap/111-entropy-for-a-child.md	-	-	66	32	2
design/roadmap/112-safety-comments-that-bind.md	-	-	51	15	8
design/roadmap/113-proofs-under-the-unsafe-lints.md	-	-	46	16	2
design/roadmap/114-decisions-split.md	-	-	48	17	3
design/roadmap/115-ratified-names.md	-	-	90	22	4
design/roadmap/116-one-sided-fences.md	-	-	54	15	2
design/roadmap/117-newcomer-onboarding.md	8718	-	81	125	34
design/roadmap/118-constitution-budget.md	9008	-	97	94	51
design/roadmap/119-merge-throughput.md	-	-	57	21	9
design/roadmap/12-call-reply-ipc.md	-	-	-	10	1
design/roadmap/120-nife-and-the-organization.md	-	-	62	38	8
design/roadmap/121-ripgrep-and-enumeration.md	-	-	48	32	17
design/roadmap/122-a-directory-handle-std-can-hold.md	-	-	59	32	6
design/roadmap/123-the-demonstration.md	-	-	65	17	11
design/roadmap/124-a-thread-is-born-where-it-lives.md	3894	-	67	48	23
design/roadmap/125-a-number-in-the-prose-is-a-claim.md	-	-	51	23	10
design/roadmap/126-who-else-is-running.md	8556	22	101	83	61
design/roadmap/127-the-sel4-machine.md	-	-	72	24	6
design/roadmap/128-automation-identity.md	-	-	63	27	10
design/roadmap/129-scheduled-execution.md	3276	-	71	42	11
design/roadmap/13-capability-revocation.md	-	-	54	11	2
design/roadmap/130-the-copy-that-outlived-its-reason.md	-	-	53	24	9
design/roadmap/131-share-configuration-and-secrets.md	-	-	63	20	10
design/roadmap/132-the-fastpath-footprint.md	-	-	54	20	9
design/roadmap/133-blocked-thread-teardown.md	-	22	73	23	12
design/roadmap/134-the-measurements-that-decide.md	5287	-	85	56	50
design/roadmap/135-loom-region-claim.md	-	22	74	18	6
design/roadmap/136-one-decision-path.md	-	-	51	23	9
design/roadmap/137-mac-file-server.md	-	22	60	12	5
design/roadmap/138-file-io-throughput.md	7896	21	73	87	60
design/roadmap/139-drive-down-unsafe.md	13775	25	123	104	59
design/roadmap/14-kernel-objects-from-untyped.md	-	-	-	11	2
design/roadmap/140-foreign-filesystems.md	-	-	57	32	10
design/roadmap/141-a-palette-worth-looking-at.md	-	-	42	15	5
design/roadmap/142-a-text-display-worth-living-in.md	8383	-	83	95	61
design/roadmap/143-silicon-iommu.md	-	-	47	16	14
design/roadmap/144-sandbox-screendump-gap.md	-	-	56	11	0
design/roadmap/145-test-fixture-skip.md	-	-	58	8	1
design/roadmap/146-nfs-network-file-system.md	-	-	44	23	1
design/roadmap/147-pmu-capability-profiler.md	-	25	66	19	2
design/roadmap/148-os-noise-bound.md	-	29	74	19	6
design/roadmap/149-hpc-benchmark-suite.md	-	26	85	20	7
design/roadmap/15-asids.md	-	-	-	11	1
design/roadmap/150-program-declaration-data.md	-	-	67	32	1
design/roadmap/151-notification-objects.md	-	23	43	12	0
design/roadmap/152-durable-delegation.md	3105	24	113	36	7
design/roadmap/153-out-of-memory-causes.md	-	-	58	10	5
design/roadmap/154-multi-directory-namespace.md	-	24.5	86	25	11
design/roadmap/155-user-provisioning.md	-	28	64	16	3
design/roadmap/156-syscall-entry-diet.md	-	21	62	9	5
design/roadmap/157-uboot-framebuffer-handoff.md	-	-	51	7	0
design/roadmap/158-kernel-object-rename-build.md	4108	35	167	19	10
design/roadmap/159-jh7110-trng-driver.md	5302	-	82	53	43
design/roadmap/16-real-hardware-iommu.md	-	22	60	22	7
design/roadmap/160-pub-fn-naming-review.md	-	21	66	6	3
design/roadmap/161-x86-64-kernel-port.md	9689	22	150	106	59
design/roadmap/162-cpu-instruction-entropy.md	-	24	78	19	8
design/roadmap/163-jh7110-pcie-root-complex.md	-	24.5	71	4	2
design/roadmap/164-x86-64-fs-server-aes.md	-	21.5	49	18	7
design/roadmap/165-x86-64-pci-acpi-mcfg.md	3569	23	67	29	13
design/roadmap/166-init-boot-parity.md	-	22	61	9	4
design/roadmap/167-timebase-page-delegation.md	-	27	68	7	2
design/roadmap/168-multitasking-benchmark.md	4403	-	73	54	28
design/roadmap/169-kilo-editor.md	-	23	63	11	3
design/roadmap/17-multikernel-scheduler.md	-	-	53	7	2
design/roadmap/170-nano-editor.md	-	26	53	6	0
design/roadmap/171-git-core-userspace.md	-	23.5	50	3	0
design/roadmap/172-capability-native-subprocess.md	-	25	58	6	1
design/roadmap/173-rustc-cargo-self-host.md	-	27	84	5	2
design/roadmap/174-nife-thin-dev-client.md	-	25.5	58	5	1
design/roadmap/175-user-components-fixtures-split.md	-	20.5	73	29	13
design/roadmap/176-x86-64-discovery-seam-wide-half.md	-	29	70	9	4
design/roadmap/177-graphical-interactive-boot.md	-	21	82	27	9
design/roadmap/178-credential-rotation.md	-	31	53	5	3
design/roadmap/179-mouse-pointer-input.md	-	27	67	7	2
design/roadmap/18-verify-capability-core.md	-	-	73	14	6
design/roadmap/180-clipboard-copy-paste.md	-	26	56	6	2
design/roadmap/181-persistent-foreign-component.md	-	26	63	8	3
design/roadmap/182-x86-64-interactive-boot.md	3456	-	60	45	9
design/roadmap/183-capability-holder-index.md	-	26	60	10	4
design/roadmap/184-std-x86-64.md	-	-	-	20	4
design/roadmap/185-userspace-retry-sweep.md	-	30.5	53	4	4
design/roadmap/186-architecture-list-derivation.md	-	21	81	21	16
design/roadmap/187-x86-64-arch-audit.md	4468	-	67	41	11
design/roadmap/188-ipc-fastpath.md	6805	-	68	70	31
design/roadmap/189-per-architecture-frame-budget.md	-	-	55	13	6
design/roadmap/19-real-workload.md	-	-	51	10	3
design/roadmap/190-ext4-read-write.md	3001	-	86	29	9
design/roadmap/191-proof-retrospective.md	-	-	55	22	5
design/roadmap/192-keyboard-on-real-silicon.md	3505	-	50	46	28
design/roadmap/193-kernel-kani-reachable.md	-	-	52	31	6
design/roadmap/194-falsification-records.md	-	-	43	18	1
design/roadmap/195-uefi-boot-finish.md	-	-	45	16	6
design/roadmap/196-elf-physical-address.md	-	-	59	17	1
design/roadmap/197-user-and-xtask-proofs.md	-	20.5	81	20	11
design/roadmap/198-package-manager.md	4626	-	123	37	29
design/roadmap/199-license-visibility.md	-	-	-	7	7
design/roadmap/20-portable-hal.md	-	-	48	17	4
design/roadmap/200-address-kinds-are-types.md	-	-	50	19	4
design/roadmap/201-defect-discovery-curve.md	-	-	50	29	6
design/roadmap/202-confinement-claims-falsified.md	-	-	59	33	8
design/roadmap/203-vendored-engine-upgrades.md	-	-	52	25	11
design/roadmap/204-lane-claim-check.md	-	-	66	22	5
design/roadmap/205-foreign-program-arguments.md	-	-	49	10	0
design/roadmap/206-user-image-ceiling.md	-	-	47	7	2
design/roadmap/207-community-documentation.md	-	21	63	22	20
design/roadmap/208-boot-section-wx.md	-	-	56	27	7
design/roadmap/209-session-preflight.md	-	-	-	13	4
design/roadmap/20a-name-the-seams.md	-	-	-	7	0
design/roadmap/21-benchmarks.md	-	-	59	12	2
design/roadmap/210-run-one-kernel-test.md	-	-	57	12	9
design/roadmap/211-self-referential-harnesses.md	-	-	48	23	8
design/roadmap/212-falsification-ratio-is-partial.md	-	-	44	17	7
design/roadmap/213-harnesses-that-duplicate-the-implementation.md	-	-	48	16	5
design/roadmap/214-print-and-return-skips.md	-	22	49	24	8
design/roadmap/215-x86-64-pci-interrupt-routing.md	-	-	58	27	18
design/roadmap/216-board-console.md	-	-	73	34	8
design/roadmap/217-matched-pair-on-the-card.md	-	21	51	18	4
design/roadmap/218-hands-free-board-boot.md	-	-	70	32	11
design/roadmap/219-a-workload-that-does-not-stop.md	-	-	51	29	14
design/roadmap/22-trusted-init.md	-	-	57	23	9
design/roadmap/220-jh7110-clock-and-reset.md	-	-	66	30	10
design/roadmap/221-a-soak-that-crosses-cores.md	-	22.5	61	21	7
design/roadmap/222-hvf-leg-fails-silently.md	-	-	70	22	7
design/roadmap/223-a-card-checker.md	-	25	53	19	4
design/roadmap/224-remote-power-for-radon.md	-	-	41	19	9
design/roadmap/225-run-the-soak-on-the-boards.md	-	21	42	16	2
design/roadmap/226-qemu-bounded-orphans.md	-	21.5	55	33	5
design/roadmap/227-gicv3-driver.md	-	-	53	36	6
design/roadmap/228-close-what-we-claim-is-closed.md	-	-	63	28	13
design/roadmap/229-the-counter-grant.md	-	-	51	35	13
design/roadmap/23-component-os-live-replacement.md	3338	-	93	37	34
design/roadmap/230-shell-check-is-red.md	3069	-	54	31	21
design/roadmap/231-capability-slot-high-water-mark.md	-	-	52	23	7
design/roadmap/232-what-the-checks-actually-check.md	-	-	55	31	8
design/roadmap/233-login-never-runs.md	-	-	54	18	8
design/roadmap/234-project-metrics.md	-	-	81	22	5
design/roadmap/235-a-faulted-job-should-reach-the-prompt.md	-	21.5	61	17	4
design/roadmap/236-lift-the-copied-derivations.md	-	-	51	28	3
design/roadmap/237-the-cycle-grant-is-a-measurement-build.md	-	-	62	28	11
design/roadmap/238-the-scheduled-checks-that-never-run.md	3200	-	55	45	18
design/roadmap/239-radons-tree-describes-less-than-the-chip-has.md	-	-	68	25	2
design/roadmap/24-second-aarch64-board.md	-	22.5	53	10	6
design/roadmap/240-a-soak-should-say-where-its-threads-landed.md	-	-	63	20	4
design/roadmap/241-what-a-fourth-board-would-have-to-be-for.md	-	-	61	24	18
design/roadmap/242-usb-host-and-a-keyboard-that-is-not-a-uart.md	-	-	56	13	6
design/roadmap/243-a-machine-with-no-serial-port-cannot-say-anything.md	3931	-	70	62	22
design/roadmap/244-the-largest-crate-in-the-tree-is-proved-by-nothing.md	-	-	59	21	11
design/roadmap/245-a-soak-cannot-tell-a-flat-run-from-a-productive-one.md	-	-	49	15	4
design/roadmap/246-the-refusal-path-of-measured-boot-is-tested-by-nothing.md	-	-	66	20	5
design/roadmap/247-follow-on-work-named-by-a-finished-milestone-goes-nowhere.md	-	-	63	27	9
design/roadmap/248-a-placement-cannot-be-constructed-only-drawn.md	-	-	55	18	6
design/roadmap/249-the-boot-lottery-is-sampled-by-a-person-walking-to-the-board.md	3074	-	67	46	9
design/roadmap/25-cross-os-comparison.md	-	-	47	11	5
design/roadmap/250-an-unviable-mutant-is-a-hole-that-reads-as-a-pass.md	-	-	61	17	7
design/roadmap/251-a-needs-architect-label-outlives-its-question.md	-	-	-	15	2
design/roadmap/252-a-partial-block-is-the-one-nobody-re-reads.md	-	-	52	29	4
design/roadmap/253-a-status-that-only-becomes-wrong-after-the-merge.md	-	-	-	15	4
design/roadmap/254-a-caller-stranded-by-a-dead-server.md	-	-	47	27	14
design/roadmap/255-the-arch-layer-the-prover-cannot-see.md	-	21	61	29	5
design/roadmap/256-a-bar-window-the-machine-agreed-to.md	-	-	57	34	11
design/roadmap/257-network-boot-radon.md	-	-	68	38	16
design/roadmap/258-archive-and-compression.md	-	21	51	16	6
design/roadmap/259-sweep-the-notes-for-stale-claims.md	-	-	54	40	10
